,Alteration + Threshold,Node Similarity Slope,Node Similarity Intercept,Node Similarity r_value,Node Similarity p_value,Node Similarity std_err,Structural Similarity Slope,Structural Similarity Intercept,Structural Similarity r_value,Structural Similarity p_value,Structural Similarity std_err,Behavioral Similarity Slope,Behavioral Similarity Intercept,Behavioral Similarity r_value,Behavioral Similarity p_value,Behavioral Similarity std_err,F1-Score Slope,F1-Score Intercept,F1-Score r_value,F1-Score p_value,F1-Score std_err,Compliance Degree Slope,Compliance Degree Intercept,Compliance Degree r_value,Compliance Degree p_value,Compliance Degree std_err,Compliance Maturity Slope,Compliance Maturity Intercept,Compliance Maturity r_value,Compliance Maturity p_value,Compliance Maturity std_err
0,"Remove Activity (0,2 Threshold)",-0.13136538271168116,1.2413692048080194,-0.8927479879248539,1.7543037640736265e-70,0.004711601821604668,-0.09774859890973205,0.8338556496555862,-0.8515656816502851,1.951159892030882e-57,0.004276579182600995,-0.10406476820452622,1.173082496472492,-0.8266833899055523,2.4241682320877004e-51,0.005033657330093639,-0.13390933077118877,1.1336974275280836,-0.9180415277006861,1.731916225412594e-81,0.004110000244483281,-0.0791944444444447,0.5297500000000012,-0.5038418851423697,2.844490051596074e-14,0.009648926338152551,-0.06900000000000003,0.4510000000000002,-0.5281424911380082,9.212151229555614e-16,0.007884111310681194
1,"Remove Activity (0,5 Threshold)",-0.13537848890224352,1.2017391711410186,-0.9256668824051013,1.6100145868222553e-85,0.003932276931067614,-0.09719093033397762,0.8403220806129138,-0.8605421088132696,6.481963166487677e-60,0.004088484130853359,-0.10135426293211415,1.1698137737869634,-0.8061300620398619,5.335577195506553e-47,0.005287301229065911,-0.12825888199385305,1.0639858296128724,-0.9311019175580874,1.150667749903669e-88,0.0035707857975477617,-0.10036507936507952,0.6592261904761912,-0.5936851053464491,1.9537128231352905e-20,0.00966777450696815,-0.08985714285714289,0.582857142857143,-0.6063741452222232,1.8145222702773004e-21,0.008374222504577599
2,"Remove Activity (0,8 Threshold)",-0.14969904534000025,1.0329427165600011,-0.9471616944070839,9.979881189764353e-100,0.0036027801366632414,-0.09282182272809524,0.8123020736114286,-0.8515058751409861,2.0242031150880434e-57,0.004062066521441174,-0.1681064416085715,1.3263376612785718,-0.8805693494888334,3.9516528989099025e-66,0.0064297009079010885,-0.12335005920428568,0.9818417087342856,-0.9797682935025054,2.653911062197e-140,0.0017906339998039961,-0.10312301587142844,0.685011904751428,-0.6046387980129144,2.527172292309516e-21,0.009654119445421756,-0.09242857142857144,0.6044285714285714,-0.6214934935858816,9.270534817014657e-23,0.008280019107215824
3,"Remove Activity (1,0 Threshold)",-0.002666666666666683,0.016000000000000073,-0.2686353447586691,0.0001199616222598839,0.000679529588583501,-0.09822230215771229,0.836470724792812,-0.8667733888835911,9.705396307818344e-62,0.0040161806147469585,-0.1293802147723497,0.9218259918506186,-0.9185169040959674,9.97361328290058e-82,0.003957898887136489,-0.12461704186392575,0.9856083414992154,-0.9790923380086923,6.645429233740385e-139,0.001839953953973391,-0.0913015873015874,0.61702380952381,-0.5430626453574012,9.748654294295654e-17,0.01003265579427788,-0.08185714285714288,0.5438571428571429,-0.5608138425841167,5.8023531902992464e-18,0.008588259089406042
