,Alteration + Threshold,Node Similarity Slope,Node Similarity Intercept,Node Similarity r_value,Node Similarity p_value,Node Similarity std_err,Structural Similarity Slope,Structural Similarity Intercept,Structural Similarity r_value,Structural Similarity p_value,Structural Similarity std_err,Behavioral Similarity Slope,Behavioral Similarity Intercept,Behavioral Similarity r_value,Behavioral Similarity p_value,Behavioral Similarity std_err,F1-Score Slope,F1-Score Intercept,F1-Score r_value,F1-Score p_value,F1-Score std_err,Compliance Degree Slope,Compliance Degree Intercept,Compliance Degree r_value,Compliance Degree p_value,Compliance Degree std_err,Compliance Maturity Slope,Compliance Maturity Intercept,Compliance Maturity r_value,Compliance Maturity p_value,Compliance Maturity std_err
0,"Remove Flow (0,2 Threshold)",-0.03423727065907926,0.9301021319972345,-0.9617592279483518,2.5815471082508982e-113,0.000692925201765213,-0.04281907510478936,0.9968849721706864,-0.9399361106326429,2.2561179538313733e-94,0.0011051132640302152,-0.007903455504317073,0.9910274153411239,-0.8828230023532163,6.731428136190455e-67,0.0002988386101313969,-0.04521266164705967,1.0850072874609662,-0.8819595132565587,1.3319195831234368e-66,0.0017171153246706955,-0.03904761904761906,0.23571428571428577,-0.37673386172031326,3.833420690003389e-08,0.0068232151954840765,-0.03904761904761906,0.23571428571428577,-0.37673386172031326,3.833420690003389e-08,0.0068232151954840765
1,"Remove Flow (0,5 Threshold)",-0.03639619136401748,0.943292628426502,-0.9692581133199789,1.5408585450683425e-122,0.0006565993977343173,-0.04396351267779829,1.0016042053184908,-0.9324443320267506,1.754770941065713e-89,0.0012106574223591442,-0.008551293046877817,0.9952221820066336,-0.90394406826731,5.650566728325829e-75,0.0002875059406420994,-0.04913439589349337,1.104815487759235,-0.9115545383353515,2.3496227831995335e-78,0.001575075917451298,-0.06333333333333344,0.38000000000000045,-0.4949096314258648,9.386325097606841e-14,0.007902524646163978,-0.06333333333333344,0.38000000000000045,-0.4949096314258648,9.386325097606841e-14,0.007902524646163978
2,"Remove Flow (0,8 Threshold)",-0.13319587536035143,0.9508108139566016,-0.9453384869082445,2.619508310989668e-98,0.003265196001575724,-0.043643853500996296,0.9952826221397648,-0.9443823467085036,1.3902311224317284e-97,0.0010800398973213375,-0.13833691624728023,1.336846030681099,-0.7802472171623762,3.224761361752027e-42,0.007880987094535026,-0.04283910065995978,1.0209612155710994,-0.9973284762536746,5.595694385384015e-227,0.00022298404874017503,-0.04666666666666689,0.280000000000001,-0.4190790380624778,6.566640732055972e-10,0.00718521989647623,-0.04666666666666689,0.280000000000001,-0.4190790380624778,6.566640732055972e-10,0.00718521989647623
3,"Remove Flow (1,0 Threshold)",-0.019345238095238033,0.11642857142857115,-0.4468389366658038,3.299935571553713e-11,0.0027524939290031122,-0.04378732902619044,0.997011956182857,-0.9421060333303672,6.582681683618956e-96,0.0011075649317845158,-0.12656366920571424,1.011188047125714,-0.8996732471805269,3.372369053001915e-73,0.0043645501373813095,-0.04283910057142859,1.0209612150714285,-0.9973284762370789,5.595697822204301e-227,0.0002229840489747377,-0.05476190476190493,0.3314285714285722,-0.44992299236155925,2.3271334868681322e-11,0.007724884197469369,-0.05476190476190493,0.3314285714285722,-0.44992299236155925,2.3271334868681322e-11,0.007724884197469369
