,Alteration + Threshold,Node Similarity Slope,Node Similarity Intercept,Node Similarity r_value,Node Similarity p_value,Node Similarity std_err,Structural Similarity Slope,Structural Similarity Intercept,Structural Similarity r_value,Structural Similarity p_value,Structural Similarity std_err,Behavioral Similarity Slope,Behavioral Similarity Intercept,Behavioral Similarity r_value,Behavioral Similarity p_value,Behavioral Similarity std_err,F1-Score Slope,F1-Score Intercept,F1-Score r_value,F1-Score p_value,F1-Score std_err,Compliance Degree Slope,Compliance Degree Intercept,Compliance Degree r_value,Compliance Degree p_value,Compliance Degree std_err,Compliance Maturity Slope,Compliance Maturity Intercept,Compliance Maturity r_value,Compliance Maturity p_value,Compliance Maturity std_err
0,"Add Activity (0,2 Threshold)",-0.044804428999049746,0.9047456189164327,-0.9762195028003292,1.9813429618628654e-133,0.0007070806098600465,-0.018853978536970933,0.9087129457472893,-0.9004879638041727,1.5682275928321197e-73,0.0006470872892698189,-0.0038809269672212,0.9925035346186714,-0.5653798301054375,2.7317707180832567e-18,0.00040237164580646793,-0.04832789844450304,0.9375011342200639,-0.9910071797462917,6.32190410262826e-175,0.0004637382124040406,-0.06338160453294639,0.7859945886894271,-0.8322799788829975,1.2645302870655136e-52,0.003000195525501814,-0.013952380952380954,0.9872857142857143,-0.2697079071608827,0.0001123913223986151,0.003540154880837224
1,"Add Activity (0,5 Threshold)",-0.04492225273152285,0.9045515045274719,-0.9730258187557901,4.4344085492564156e-128,0.0007569114715738006,-0.01873287962659419,0.908545353206698,-0.8835238184089704,3.853439791565779e-67,0.000705761244261254,-0.004134215784372177,0.9932960632240432,-0.57558767727721,4.85841389687923e-19,0.0004174114311099431,-0.04832789844450304,0.9375011342200639,-0.9910071797462917,6.32190410262826e-175,0.0004637382124040406,-0.06395918823226679,0.7874387126619161,-0.8388296888753298,3.461816243333307e-54,0.002949917229432135,-0.01580952380952382,0.9891428571428573,-0.29404905073861276,2.37641818598639e-05,0.003651985500916297
2,"Add Activity (0,8 Threshold)",-0.06887768145666669,0.9228930962400002,-0.941601880566128,1.5144679342526892e-95,0.00175048393825197,-0.019321082977142856,0.9118682375671427,-0.9125663106258866,7.917626497195122e-79,0.0006152931663028294,-0.0018657088023809516,0.9994444125557143,-0.6683781957091411,2.9936994225068296e-27,0.00014755630908394607,-0.04832789844047606,0.9375011341071424,-0.9910071798952113,6.321893784235164e-175,0.00046373820847334335,-0.0621179021685714,0.7845573601685714,-0.8434247595530003,2.515578844398603e-55,0.0028119791169696168,-0.014190476190476189,0.9688571428571429,-0.25805944211662124,0.00022485205601906753,0.0037755459229960086
3,"Add Activity (1,0 Threshold)",-0.011391427170000001,0.07369093410000001,-0.3301621608042565,1.8015576426202027e-06,0.002314490368263333,-0.01900633073761905,0.9107297383642858,-0.9126715380896377,7.06536637379097e-79,0.000604852225984419,-0.07188199879904764,0.9087235759757144,-0.6102242804439685,8.637679430781636e-22,0.0066320629884595445,-0.04832789844047606,0.9375011341071424,-0.9910071798952113,6.321893784235164e-175,0.00046373820847334335,-0.05913592657619046,0.7613690734328571,-0.8018719848375762,3.648118743708654e-46,0.0031314730688353897,-0.013285714285714281,0.9772857142857142,-0.24902030660712504,0.0003768527994665328,0.0036721160382975244
