,Alteration + Threshold,Node Similarity Slope,Node Similarity Intercept,Node Similarity r_value,Node Similarity p_value,Node Similarity std_err,Structural Similarity Slope,Structural Similarity Intercept,Structural Similarity r_value,Structural Similarity p_value,Structural Similarity std_err,Behavioral Similarity Slope,Behavioral Similarity Intercept,Behavioral Similarity r_value,Behavioral Similarity p_value,Behavioral Similarity std_err,F1-Score Slope,F1-Score Intercept,F1-Score r_value,F1-Score p_value,F1-Score std_err,Compliance Degree Slope,Compliance Degree Intercept,Compliance Degree r_value,Compliance Degree p_value,Compliance Degree std_err,Compliance Maturity Slope,Compliance Maturity Intercept,Compliance Maturity r_value,Compliance Maturity p_value,Compliance Maturity std_err
0,"Add Flow (0,2 Threshold)",-0.005136251741621781,0.9501254624973315,-0.4737823452839517,1.3821393855399205e-12,0.0006784755709718253,-0.011507574239772389,0.9853407992076724,-0.7693800310514228,2.120893752987989e-40,0.0006789992514812413,-0.0024338251620638425,0.9954327906654483,-0.45664620060940375,1.0735798825872553e-11,0.00033697317299684115,-0.02418764780551603,0.9890357891242458,-0.9984901549095406,1.7278847906425089e-251,9.456587735384206e-05,-0.05794771147106246,0.7667720298494537,-0.7870775427041504,2.0504048211609224e-43,0.0032275175042756244,-0.01600000000000001,0.9870000000000001,-0.29958234700617725,1.6356780122184866e-05,0.0036211924987543985
1,"Add Flow (0,5 Threshold)",-0.0049609561098790875,0.9485655004973181,-0.43327002845067825,1.4725725267966588e-10,0.0007333752379486435,-0.011112272701171424,0.9818200032804192,-0.7285552403180267,2.258423582846957e-34,0.0007424892526349513,-0.002334131235353333,0.9943630400983782,-0.42196637595564795,4.871628061253635e-10,0.00035639864469302803,0.0,0.0,0.0,1.0,0.0,-0.05479063057236234,0.7521622848325394,-0.7930215310405315,1.7141890784543497e-44,0.0029911904259436258,-0.011666666666666664,0.9630000000000001,-0.24671583059355642,0.00042859867152284366,0.0032567193522860197
2,"Add Flow (0,8 Threshold)",-0.006463537692535227,0.9564225785078467,-0.5841986172113631,1.0796012734425415e-19,0.0006381531914947039,-0.012199932718104756,0.9873639067667201,-0.7848789614762989,5.03253990855624e-43,0.0006844913756531992,-0.0008228565456399524,0.9996263942189337,-0.5998526425517462,6.236290291610206e-21,7.80004170469995e-05,-0.02418764780551603,0.9890357891242458,-0.9984901549095406,1.7278847906425089e-251,9.456587735384206e-05,-0.06423522576313823,0.800391357901297,-0.8303191062460531,3.602941001133275e-52,0.003063906488817092,-0.013857142857142849,0.9738571428571429,-0.2565404530567967,0.00024555924816937905,0.003710241258255535
3,"Add Flow (1,0 Threshold)",-0.06833333333333345,0.5950000000000005,-0.5783834050040516,2.9958152772023918e-19,0.0068493488921877455,-0.011938909796937222,0.9879097601253728,-0.7902493810317246,5.508842608460742e-44,0.0006579248697109826,-0.03548682935945548,1.0070788200500909,-0.42357173322029285,4.121408712362011e-10,0.005393490843215829,-0.02418764780551603,0.9890357891242458,-0.9984901549095406,1.7278847906425089e-251,9.456587735384206e-05,-0.06266708627683897,0.7911637034633895,-0.8386214717011861,3.890912500719243e-54,0.00289274378224053,-0.018523809523809526,0.989857142857143,-0.3598997298029671,1.656036610538315e-07,0.003412664854360324
