,Alteration Type,Node Similarity Slope,Node Similarity Intercept,Node Similarity r_value,Node Similarity p_value,Node Similarity std_err,Structural Similarity Slope,Structural Similarity Intercept,Structural Similarity r_value,Structural Similarity p_value,Structural Similarity std_err,Behavioral Similarity Slope,Behavioral Similarity Intercept,Behavioral Similarity r_value,Behavioral Similarity p_value,Behavioral Similarity std_err,F1-Score Slope,F1-Score Intercept,F1-Score r_value,F1-Score p_value,F1-Score std_err,Compliance Degree Slope,Compliance Degree Intercept,Compliance Degree r_value,Compliance Degree p_value,Compliance Degree std_err,Compliance Maturity Slope,Compliance Maturity Intercept,Compliance Maturity r_value,Compliance Maturity p_value,Compliance Maturity std_err
0,"Change Label (0,2 Threshold)",-0.007911368740525471,0.9370080931310388,-0.6468738439421854,5.0148972288644915e-31,0.0005922448666015568,-0.017602067086736527,0.9171957312293629,-0.4056480761881278,2.5458120438544383e-11,0.0025185382351874154,-0.00013978836884121745,0.9995528199569387,-0.38148633092825,4.3997049398136747e-10,2.1508700019774434e-05,-0.014242424242424244,0.9533333333333334,-0.32596473160912093,1.343254338295917e-07,0.002622978684740631,-0.061963636363636415,0.8656000000000001,-0.756254457850017,1.3592794456852123e-47,0.0034041224139337895,-0.061963636363636415,0.8656000000000001,-0.756254457850017,1.3592794456852123e-47,0.0034041224139337895
1,"Change Label (0,5 Threshold)",-0.009007599027387094,0.9433443651350685,-0.7107982231849743,9.045108517362255e-40,0.0005660264750336414,-0.0168436943148798,0.9150876635370047,-0.3824994828442847,3.9221415857213924e-10,0.00258363887133369,-0.0001924949443082143,0.9998644897606648,-0.5177342224869976,1.518228543317694e-18,2.0198899112686656e-05,-0.035969696969696964,0.9468333333333333,-0.6170924994446374,1.252878276175804e-27,0.0029125610616015226,-0.06121212121212121,0.8642666666666667,-0.7451121659936657,1.59977175330089e-45,0.00347917409581535,-0.06121212121212121,0.8642666666666667,-0.7451121659936657,1.59977175330089e-45,0.00347917409581535
2,"Change Label (0,8 Threshold)",-0.021860258815762378,0.9051834378545414,-0.6075295531029736,1.298862076471648e-26,0.0018148678739294047,-0.01665045483371298,0.9105431622320084,-0.39038279740486,1.5825764059452881e-10,0.0024934771284865036,-0.0001823935444830145,0.9996006150408331,-0.43624641155717686,4.885491529765787e-13,2.3889710838895024e-05,-0.04748484848484844,0.8216666666666664,-0.6909491450702152,8.219595431083913e-37,0.0031547386045100846,-0.06235151515151517,0.8749333333333335,-0.7643700030995201,3.576476805675782e-49,0.0033398553452660684,-0.06235151515151517,0.8749333333333335,-0.7643700030995201,3.576476805675782e-49,0.0033398553452660684
3,"Change Label (1,0 Threshold)",-0.046636363636085816,0.6680000000000004,-0.7768771960475018,9.76698373113266e-52,0.0024001984574383906,-0.018180807551534364,0.9315430496170849,-0.4118480142431494,1.1798441103458208e-11,0.002554401205333669,-0.0006574793339125091,1.000658541318484,-0.49554685609152077,6.745194738481542e-17,7.3178241586001e-05,-0.06277272727272727,0.7825,-0.8034485582423657,8.836670867149404e-58,0.0029537727390172835,-0.06606060606060606,0.8877333333333333,-0.7694867876270137,3.3437736278769803e-50,0.0034816661061012537,-0.06606060606060606,0.8877333333333333,-0.7694867876270137,3.3437736278769803e-50,0.0034816661061012537
